country,reference_date,Rt
Italy,2022-08-08,0.7648195368811522
Italy,2022-08-09,0.7618054483519792
Italy,2022-08-10,0.7649992853657012
Italy,2022-08-11,0.7744010479223182
Italy,2022-08-12,0.7900107360218305
Italy,2022-08-13,0.8118283496642378
Italy,2022-08-14,0.8398538888495402
Italy,2022-08-15,0.8717262568381995
Italy,2022-08-16,0.8932788731929865
Italy,2022-08-17,0.9021506411743624
Italy,2022-08-18,0.8983415607823273
Italy,2022-08-19,0.8818516320168812
Italy,2022-08-20,0.8526808548780246
Italy,2022-08-21,0.8108292293657569
Italy,2022-08-22,0.759068801321916
Italy,2022-08-23,0.7140318457975289
Italy,2022-08-24,0.6784904086344332
Italy,2022-08-25,0.6524444898326294
Italy,2022-08-26,0.6358940893921169
Italy,2022-08-27,0.6288392073128961
Italy,2022-08-28,0.6312798435949669
Italy,2022-08-29,0.643215998238329
Italy,2022-08-30,0.664647671242983
Italy,2022-08-31,0.6955748626089284
Italy,2022-09-01,0.7359975723361655
Netherlands,2022-05-05,0.2435333185477455
Netherlands,2022-05-06,0.8908894718932754
Netherlands,2022-05-07,1.5939099473617264
Netherlands,2022-05-08,2.352594744953098
Netherlands,2022-05-09,3.1669438646673904
Netherlands,2022-05-10,4.036957306504604
Netherlands,2022-05-11,4.962635070464739
Netherlands,2022-05-12,5.943977156547794
Netherlands,2022-05-13,6.980983564753769
Netherlands,2022-05-14,8.073654295082667
Netherlands,2022-05-15,9.221989347534484
Netherlands,2022-05-16,10.359136237146833
Netherlands,2022-05-17,11.083980054145366
Netherlands,2022-05-18,11.329668313567693
Netherlands,2022-05-19,11.096201015413815
Netherlands,2022-05-20,10.383578159683735
Netherlands,2022-05-21,9.191799746377445
Netherlands,2022-05-22,7.52086577549495
Netherlands,2022-05-23,5.476009423345375
Netherlands,2022-05-24,3.6886297477834606
Netherlands,2022-05-25,2.2639599251183307
Netherlands,2022-05-26,1.2019999553499854
Netherlands,2022-05-27,0.5027498384784242
Netherlands,2022-05-28,0.1662095745036481
Netherlands,2022-05-29,0.19237916342565653
Netherlands,2022-05-30,0.5307157569633175
Netherlands,2022-05-31,0.8779622654298407
Netherlands,2022-06-01,1.1835758405440935
Netherlands,2022-06-02,1.4475564823060765
Netherlands,2022-06-03,1.6699041907157892
Netherlands,2022-06-04,1.850618965773232
